file_name,label
data/3ecceac8-7583948982750022932.mp4,game
data/13b788a0-6906117952534367489.mp4,politically_sensitive
data/e7f0c75a-Download_-_2026-01-10T190943.456.mp4,"sexual_harm,cultural_violation"
data/f54823db-7571406800616951048.mp4,toxic_behavior
data/a12f3ba1-7584061438008888592.mp4,game_risk_impact
data/519aa51e-7580588380421983489.mp4,dangerous_acts
data/56ff5e3c-7566036406443838740.mp4,"normal_content,toxic_behavior"
data/c0fcdd90-7542876942991723794.mp4,politically_sensitive
data/a0103ec1-Download_43.mp4,graphic_violence
data/729fcf68-7494812927237590318.mp4,normal_content
data/cb6828d7-Download_-_2026-01-11T143813.010.mp4,normal_content
data/517eebc6-7563549208523984148.mp4,"self_harm_suicide,normal_content"
data/791def7d-sc6.mp4,scam_fraud
data/bb3a2271-7315291457831570694.mp4,educational_history
data/774042c6-7570954002075110676.mp4,normal_content
data/9f9d1164-7551400796861009173.mp4,gambling_drugs
data/0b87dddf-Download_-_2026-01-10T180508.530.mp4,scam_fraud
data/6a27c21b-7437133809495149831.mp4,self_harm_suicide
data/ad1bb39e-Download_-_2026-01-11T143149.355.mp4,sexual_harm
data/dd5161b1-7514895356392394002.mp4,normal_content
data/db77c3d0-sthvskhbook_official8-2025-12-18_2046-Vua-Minh-Mạng-1791-1841-tên-thật_SoPzOrS.mp4,educational_history
data/f12d4a4e-7491338743123643670.mp4,normal_content
data/58c4c573-7576231701639204104.mp4,normal_content
data/ca92eb02-7284991879303662880.mp4,normal_content
data/eb9e4297-7552528566429273351.mp4,normal_content
data/55aa93ee-7553947593303198994.mp4,normal_content
data/bd29a66a-7557236070820220167.mp4,"sexual_harm,normal_content"
data/204d8799-Download_93.mp4,scam_fraud
data/e0a374ad-7473029794544880904.mp4,normal_content
data/93118fdb-7535820960956550422.mp4,sexual_harm
data/f86d41c5-7546064353414483201.mp4,sexual_harm
data/82f1a1f0-7565033638941789458.mp4,normal_content
data/50fc11c8-Download_-_2026-01-11T150917.734.mp4,toxic_behavior
data/fa51ee72-7332831841931562241.mp4,normal_content
data/8ea823c4-7571114383145798920.mp4,sexual_harm
data/909dd7e9-7559869618551098631.mp4,normal_content
data/178000ae-7554974706785422610.mp4,sexual_harm
data/0fdf8bdb-7572888703165533460.mp4,"scam_fraud,normal_content"
data/38128ff0-truong.dinhnam-2025-07-12_2143-Phân-biệt-Tiền-Lê-Hậu-Lê-Lê-Sơ-Lê-Trung_lF6wACH.mp4,educational_history
data/83646bda-Download_44.mp4,"ai_slop,sexual_harm"
data/4626cc13-7447885581406735638.mp4,ai_slop
data/43ac34ed-hanquoc60s-2023-02-10_2103-Công-viên-ma-ám-đáng-sợ-nhất-Hàn-Quốc-bạn-c_sXkMult.mp4,graphic_violence
data/bc8bd517-7545034326082194695.mp4,normal_content
data/ab6a012f-7514636069481155847.mp4,self_harm_suicide
data/617ecdd1-7561994319230553357.mp4,normal_content
data/272217c4-culture-edge-1600.mp4,cultural_violation
data/93e2ecf7-Download_-_2026-01-11T152757.137.mp4,normal_content
data/2964e718-7549629278019669256.mp4,normal_content
data/6e727b9a-glambing_42787.mp4,gambling_drugs
data/56b86618-7559216729251974418.mp4,normal_content
data/52675ba1-7557190996186893584.mp4,game
data/fc6e51f1-7542752713331772685.mp4,normal_content
data/fb85b091-7455841327478164782.mp4,dangerous_acts
data/53b466f5-Download_59.mp4,horror_scary
data/ed12de15-glambing_89654.mp4,gambling_drugs
data/bfceafa5-Download_-_2026-01-11T141723.225.mp4,normal_content
